avg_temp,avg_humidity,avg_wind_speed,avg_rain_1h,avg_clouds_all
279.8,85.6,0.9,0.0,23.0
278.5,83.6,0.9,0.0,34.4
277.0,83.6,1.0,0.0,46.5
277.0,84.7,1.1,0.0,47.0
277.2,84.7,1.0,0.0,47.2
276.9,83.3,1.0,0.0,45.8
276.8,87.6,1.0,0.0,43.7
276.8,83.1,1.0,0.0,46.0
276.4,81.8,1.1,0.1,32.8
276.6,83.4,1.4,0.1,33.6
276.7,83.9,1.1,0.1,33.2
275.9,81.0,1.3,0.0,28.4
275.7,76.8,1.3,0.0,28.4
275.7,79.6,1.3,0.0,27.2
275.9,81.9,1.5,0.2,37.4
276.5,85.2,2.0,0.2,44.9
280.1,75.2,1.1,0.1,18.6
280.1,80.5,1.5,0.2,31.8
283.1,73.7,1.1,0.0,11.2
283.2,72.5,1.1,0.2,14.8
283.3,71.1,1.2,0.2,32.8
283.8,70.3,1.2,0.2,29.2
281.0,80.7,1.2,0.2,23.8
282.6,75.6,0.9,0.2,20.8
280.9,82.3,1.2,0.2,16.0
279.3,77.2,1.2,0.0,11.2
277.6,81.2,1.2,0.0,6.4
277.4,81.8,1.2,0.0,6.4
276.9,82.0,1.2,0.0,10.0
276.4,82.1,1.4,0.0,13.6
276.8,82.1,1.4,0.0,13.6
276.4,82.5,1.5,0.0,9.8
276.0,83.9,1.8,0.0,5.2
275.7,83.9,1.8,0.0,5.6
275.6,84.2,1.2,0.0,4.8
275.4,84.1,1.8,0.0,5.6
275.1,83.4,1.2,0.0,0.4
275.0,83.3,1.2,0.0,0.6
274.8,83.1,1.2,0.0,0.0
276.5,83.8,1.7,0.0,0.0
278.9,73.3,1.7,0.0,3.4
279.4,68.9,1.7,0.0,2.2
284.1,67.7,1.5,0.0,4.5
284.5,64.8,1.2,0.0,3.4
286.1,58.4,1.4,0.0,16.4
286.5,56.7,1.8,0.0,16.4
284.8,62.5,1.6,0.0,14.0
283.7,68.0,1.6,0.0,6.8
281.9,73.9,1.3,0.0,6.8
280.0,79.5,1.3,0.0,7.4
277.9,75.3,2.0,0.0,7.2
278.1,73.5,1.7,0.0,7.6
277.7,75.2,2.0,0.0,3.8
276.9,73.7,1.2,0.0,5.6
276.9,71.9,1.2,0.0,3.2
276.6,71.9,1.5,0.0,5.8
276.5,69.3,1.4,0.0,1.7
276.8,67.0,1.1,0.0,2.6
276.8,65.9,1.2,0.0,3.2
275.9,76.5,1.2,0.0,4.2
275.5,70.9,1.2,0.0,4.9
275.6,70.1,1.2,0.0,1.8
275.4,70.8,1.2,0.0,3.7
276.7,70.0,1.2,0.0,1.8
279.8,64.9,1.5,0.0,4.6
281.6,64.1,1.5,0.0,1.2
285.2,59.2,2.0,0.0,2.4
285.6,57.8,2.2,0.0,0.0
286.5,54.6,2.3,0.0,2.4
286.9,54.9,2.2,0.0,2.4
284.3,64.3,2.2,0.0,1.8
285.3,63.7,1.6,0.0,1.5
283.3,71.4,1.6,0.0,0.6
282.3,70.3,1.0,0.0,0.0
281.1,75.8,1.3,0.0,0.0
279.4,79.9,1.3,0.0,0.0
279.2,79.7,1.6,0.0,0.0
277.1,85.0,1.3,0.0,0.0
276.6,86.0,1.3,0.0,0.0
277.5,72.2,1.6,0.0,0.0
277.3,69.0,1.8,0.0,0.0
276.5,71.9,1.5,0.0,0.0
277.5,66.2,2.9,0.0,0.0
276.6,68.8,1.7,0.0,0.0
277.5,63.3,2.3,0.0,0.0
277.5,63.4,2.4,0.0,0.0
278.4,65.3,2.2,0.0,0.0
278.5,70.6,1.7,0.0,0.0
280.7,57.9,1.4,0.0,1.2
282.6,68.6,2.2,0.0,0.6
286.6,61.0,2.5,0.0,1.2
287.4,59.0,3.6,0.0,0.0
287.8,58.3,4.6,0.0,0.0
288.0,60.2,3.0,0.0,0.0
288.6,57.0,2.2,0.0,0.0
286.0,66.8,1.7,0.0,0.0
283.8,72.2,2.2,0.0,0.0
283.5,72.1,2.5,0.0,0.0
282.5,73.1,2.7,0.0,0.0
281.4,70.5,2.1,0.0,0.0
280.5,67.2,1.7,0.0,0.0
279.7,66.2,2.4,0.0,0.0
279.0,65.2,3.2,0.0,0.0
279.4,66.0,4.2,0.0,2.4
279.7,67.3,5.5,0.0,1.6
277.8,72.0,3.3,0.0,3.6
279.8,66.2,1.6,0.0,5.4
277.6,72.4,1.8,0.0,11.0
279.3,68.2,2.7,0.0,16.5
279.1,68.8,2.9,0.1,15.8
279.3,72.5,2.8,0.1,24.0
280.8,73.9,1.3,0.1,31.6
281.1,73.2,1.9,0.1,31.6
284.4,70.3,1.7,0.1,23.6
284.6,71.2,2.8,0.1,27.6
285.1,69.7,2.5,0.1,17.6
288.4,60.3,1.6,0.1,12.4
288.6,57.8,1.7,0.1,9.2
288.4,60.6,2.0,0.1,7.8
287.1,65.1,2.7,0.1,8.5
284.6,72.8,2.1,0.2,4.2
283.8,72.9,2.2,0.1,3.8
282.1,77.7,1.8,0.1,0.0
280.5,71.2,2.2,0.1,12.8
280.2,73.9,2.2,0.1,12.8
278.2,80.6,1.5,0.1,20.0
277.8,82.2,1.5,0.1,20.0
277.7,83.2,1.4,0.0,20.0
276.8,81.1,1.2,0.0,23.2
276.7,83.0,1.4,0.0,23.2
276.7,84.2,1.2,0.0,23.2
276.3,84.4,1.7,0.0,25.2
276.0,83.1,1.2,0.0,25.2
276.0,75.9,1.1,0.0,25.6
276.1,79.2,2.0,0.0,26.2
279.1,73.2,1.7,0.0,38.5
280.6,71.1,2.2,0.0,38.0
284.0,68.1,2.2,0.0,16.9
284.6,66.5,1.3,0.0,16.6
285.5,65.0,2.5,0.0,16.8
286.6,64.3,2.9,0.0,20.0
287.4,63.4,3.3,0.0,14.4
287.0,69.3,2.7,0.0,3.6
286.2,74.4,3.4,0.0,11.6
283.6,78.8,2.0,0.0,16.8
283.2,71.1,1.8,0.0,16.8
281.1,70.6,1.8,0.0,21.2
280.9,71.9,2.1,0.0,21.2
280.8,70.1,1.2,0.0,21.2
280.5,73.2,1.5,0.0,24.2
280.0,71.8,1.6,0.0,24.8
279.9,72.0,1.8,0.0,24.8
279.3,72.5,2.2,0.0,38.4
279.2,73.1,1.8,0.0,38.4
279.0,74.0,1.8,0.0,38.4
278.5,73.3,1.9,0.0,38.8
278.6,72.9,1.9,0.0,42.4
278.6,73.5,1.9,0.0,43.6
279.3,76.4,1.7,0.0,34.8
279.8,73.7,2.0,0.0,35.6
280.9,70.5,2.5,0.0,34.6
286.1,67.6,4.6,0.0,24.8
286.7,66.3,3.6,0.0,24.4
287.2,65.6,3.8,0.0,27.2
287.5,63.7,7.4,0.0,25.7
288.4,61.9,3.9,0.0,15.8
288.3,63.2,3.8,0.0,16.4
285.5,73.0,2.8,0.0,19.3
285.3,73.4,3.3,0.0,17.8
284.8,75.0,3.7,0.0,16.2
282.2,70.6,3.2,0.0,22.8
281.3,76.6,2.3,0.0,22.0
281.4,69.6,3.2,0.0,21.2
281.5,69.6,3.0,0.0,20.4
280.8,66.6,2.7,0.0,42.0
280.6,66.0,3.6,0.0,42.6
280.0,68.7,4.2,0.0,48.9
280.4,70.1,1.4,0.0,38.2
280.9,70.3,2.3,0.0,35.8
280.3,72.6,2.0,0.0,25.2
279.9,74.2,1.1,0.0,23.6
279.9,75.7,3.7,0.0,24.4
280.8,79.4,1.7,0.0,30.4
280.9,78.3,2.2,0.0,24.8
282.1,69.5,3.0,0.0,24.8
284.9,68.5,3.6,0.0,14.4
285.8,67.8,3.7,0.0,27.6
286.2,69.3,3.6,0.0,28.0
287.3,64.7,1.4,0.0,27.8
287.3,65.2,2.2,0.0,19.7
286.6,65.9,1.5,0.0,14.4
284.6,70.0,1.2,0.0,11.7
283.8,72.1,1.8,0.0,15.0
283.7,71.6,1.3,0.0,13.6
281.1,78.4,1.3,0.0,7.6
280.6,78.9,1.1,0.0,6.8
280.5,80.6,1.4,0.0,7.6
279.7,78.1,1.4,0.0,19.4
279.5,77.1,1.4,0.0,19.7
279.5,75.0,1.7,0.0,22.0
279.5,73.7,2.0,0.0,21.6
280.3,73.4,2.0,0.0,26.8
280.0,72.9,2.0,0.0,26.6
280.6,70.3,2.3,0.0,29.6
280.4,70.8,2.0,0.0,30.0
280.3,71.8,2.0,0.0,31.0
281.1,69.1,2.8,0.0,36.0
282.1,67.5,2.2,0.0,34.4
282.5,68.6,2.6,0.0,33.4
284.2,71.0,3.2,0.0,36.4
285.3,73.8,4.1,0.0,19.2
285.6,72.7,5.0,0.0,20.0
287.2,66.8,5.0,0.0,15.2
287.4,68.3,7.5,0.0,15.6
287.2,70.7,4.7,0.0,32.6
286.7,70.4,5.9,0.0,20.4
285.9,72.7,5.8,0.0,32.0
285.7,74.1,5.4,0.2,36.9
284.8,76.9,5.2,0.2,49.4
284.5,78.9,5.0,0.2,55.7
284.4,80.8,5.2,0.5,52.6
284.1,83.1,5.2,0.5,61.9
284.0,84.8,5.4,0.5,61.8
284.5,83.1,4.1,0.4,62.0
283.9,83.1,3.2,0.2,59.2
283.7,82.9,4.1,0.2,59.2
283.9,84.7,3.5,0.2,58.6
282.0,82.5,2.7,0.1,33.6
282.4,85.2,2.7,0.1,30.8
282.7,85.6,2.2,0.1,31.6
283.0,88.6,2.3,0.2,36.4
282.9,88.0,3.4,0.2,36.8
282.6,86.0,1.9,0.2,35.2
